,review_no,discount_text
929144,40820,"sample projects (a home and a business), and more can be downloaded.  For the most part, I found Revit to be highly specialized towards architecture / construction, and I was not able to teach myself how to use it with any sort of compentency.<br /><br />So, don't buy -- evaluate.  Search for \\""Revit LT\\"", and Autodesk has a free"
929395,474013,Sample provided for review
929508,845520,Sample provided for review
929527,2733774,Sample received for review
929795,2483425,sample pack in the mail with the matching shampoo L'Oreal Total Repair 5 Restoring Shampoo 12.6 FL OZ and conditioner L'Oreal Total Repair 5 Restoring Conditioner 12.6 FL OZ. The shampoo I currently use (Pureology) is sulfate-free
929930,2585245,free product for the purpose of my review
930596,442510,free products but like I said there are much better choices than this particular one. Everyone is entitled to their opinion but next time when I see only 1 review
930619,484903,sample for evaluation
931098,1305648,sample was provided for review
931118,2154973,"freebie.  Basically, what this release provides you with, is a LIVE VERSION OF SURREALISTIC PILLOW, minus \\""Somebody to love\\"" and a couple of other songs, you probibly have in live versions anyway. ITs not too far fetched to consider many of these songs LIVE DEMOS for Surrealistic Pillow. For that reason alone, if you are a fan of JA's second album, you REALLY should buy this 2CD set. Also, since the price is very reasonable for a 2CD set, you don't need to feel cheated by the relatively poor sound quality of the second CD. The packaging is well done, and there's even a little essay hidden behind the second CD, telling you how great the performances are on this set, in case you need reminding. Of the four Jefferson Airplane Live releases Collectors Choice just provided the fan base, THIS IS THE CD SET TO BUY. (Even if you are buying it just for the live version of DCBA-25.)ovely harmony by Grace. This is why to this day Marty and Grace's vocals are legendary for merging harmonies with utmost perfection. There's not a sour note in that WHOLE song's performance. (And Grace is singing some odd, difficult harmonies.) \\""MY GRANDFATHER\\""S CLOCK\\"" is a song in the same way \\""TURN OUT THE LIGHTS\\"" is a song from BLESS ITS POINTED LITTLE HEAD. Basically about one minute of Jorma playing a guitar piece, with Jack accompanying him on bass. Very lightly Paul can be heard fumbling around on guitar, with maybe hi hat splashes at one point, and no vocals. Half of the two minute length, is blank tape left running before the last number begins.The OTHER SIDE OF THIS LIFE by Fred Neil concludes disc two. This song's performance merits praise, but by this point, almost EVERY performance of The OTHER SIDE OF THIS LIFE became an extended excursion into acidwonderland.     Overall its hard to judge this release. If I didnt know the quality of the bootleg sound circulating of the 11/25 evening show found on Disc ONE, I wouldnt be too disappointed by what i hear at all. After all, we're talking about recordings made 45 years ago. Disc Two is more difficult to listen to, due to sonic constrictions of the source tape, but considering the price of this 2CD set, I consider it a free"
931410,1721512,sample of this product to facilitate my review
931594,386350,Sample provided for review
931918,123167,sample received in exchange for an honest review
931952,404537,sample for an evaluation
932281,914749,sample to use to test for my review
932316,871474,sample for review
932397,2730883,free product for the purpose of my review
932453,3109791,Sample provided for review
932960,67318,sample was provided for review
933249,987031,Sample provided for an honest review
933254,1099581,sample of this product in exchange for an honest review
933281,143682,"sample of an overnight treatment. I've used this on my lips because it is so moisturizing.<br /><br />Parsley Blemish Stick - A tiny glass jar with roller ball style application. Eleven ingredients soothe and heal the skin.<br /><br />Pore-Refining Mask - Most amazing pore cleansing mask I've found to date! You mix the green powder with a little water or other liquids to make unique masks. An unforgettable skin experience because you will notice results after the first use and be back here ordering the larger size green clay mask. It is that good!<br /><br />Rosewater Toner - delicate and fragrant.<br /><br />If you are looking for a unique travel kit that will make you feel like you are spoiling yourself at a spa, this is the Burt's kit to buy. Although, I have to say that this kit does not contain the lemon meringue pie scented cuticle cream and it is just essential! So, fortunately, you then have to buy other kits. ;) Please see individual products for more detailed review"
